"dates","titles","end_price","start_price","high_price","low_price","amount"
"2013-10-25","SK이노베이션, 3분기 매출 15조 8,582억 원, 영업이익 3,826억 원",152000,154500,155500,150500,374109
"2013-10-28","SK이노베이션-여성가족부, 여성/청소년/가족행복 모바일 앱 개발대회 열어",151500,151500,152000,148500,249600
"2013-10-29",NA,153000,152000,154500,150500,282907
"2013-10-30",NA,153500,154000,154000,151500,194235
"2013-10-31",NA,149000,152000,153000,149000,290604
"2013-11-01",NA,148500,149000,150000,146500,190455
"2013-11-04",NA,147000,147500,148000,146000,222057
"2013-11-05",NA,145500,147000,147500,144000,319933
"2013-11-06",NA,143500,144000,146500,142500,440436
"2013-11-07",NA,142000,144000,145000,141500,290447
"2013-11-08",NA,140500,140500,142000,139500,443896
"2013-11-11",NA,139500,141000,142000,137500,316242
"2013-11-12",NA,141000,140000,143000,139500,272898
"2013-11-13",NA,137500,140000,140000,137000,395892
"2013-11-14",NA,135000,137500,138000,133500,611723
"2013-11-15",NA,137500,134500,138000,134000,458615
"2013-11-18",NA,138500,139500,141000,138500,331402
"2013-11-19",NA,140000,138500,141000,138000,299944
"2013-11-20",NA,139500,139500,140000,138500,134601
"2013-11-21",NA,138500,139500,139500,137500,225213
"2013-11-22",NA,141000,140000,142000,140000,266826
"2013-11-25",NA,141000,141000,142000,140000,377455
"2013-11-26",NA,139500,140000,141000,138000,397936
"2013-11-27",NA,138500,138500,139500,137500,245127
"2013-11-28",NA,140000,139000,140500,138500,223198
"2013-11-29",NA,144000,140500,144500,140000,524138
"2013-12-02",NA,144000,143500,145500,143000,276948
"2013-12-03",NA,144000,143500,145500,142500,386132
"2013-12-04",NA,142000,143500,144000,141500,261586
"2013-12-05",NA,143000,141500,144000,141000,307201
"2013-12-06",NA,141500,142500,142500,140500,277388
"2013-12-09",NA,141500,142000,143500,141500,189929
"2013-12-10",NA,140000,142000,142000,139500,259381
"2013-12-11",NA,139000,140000,141000,139000,217814
"2013-12-12",NA,138500,138000,140500,138000,337067
"2013-12-13",NA,137500,138500,139000,136000,234269
"2013-12-16",NA,136500,136500,138500,136000,250094
"2013-12-17",NA,137500,137500,138500,137000,277801
"2013-12-18","SK루브리컨츠, GM에 엔진유 등 공급... 세계 시장 공략 박차",138000,137500,139500,136500,214129
"2013-12-19",NA,137500,140000,140500,137000,200917
"2013-12-20","SK에너지, 책으로 ‘사랑’을 나누다",137500,138000,138000,136000,225615
"2013-12-23",NA,137500,138000,139000,137000,200054
"2013-12-24",NA,140000,138000,141000,137500,365342
"2013-12-26",NA,141000,141000,142500,140500,273701
"2013-12-27",NA,140500,140000,141500,139000,262791
"2013-12-30",NA,141500,141000,142500,140500,214496
"2014-01-02",NA,140000,143000,143500,139000,282896
"2014-01-03",NA,138500,140500,141000,137500,314889
"2014-01-06",NA,137500,137500,138500,136500,171686
"2014-01-07",NA,135500,136000,137000,134500,382171
"2014-01-08",NA,133500,136000,136500,132500,492483
"2014-01-09",NA,132000,133500,134000,132000,306145
"2014-01-10",NA,131000,132000,133500,130500,431569
"2014-01-13",NA,131500,131000,133500,131000,196405
"2014-01-14",NA,131000,131500,131500,130000,187911
"2014-01-15",NA,131000,131500,132500,130000,253776
"2014-01-16",NA,131000,131000,133500,130500,306902
"2014-01-17",NA,130500,131000,132000,130000,213840
"2014-01-20",NA,129000,130000,130500,128500,415856
"2014-01-21",NA,130000,129000,131000,128500,199069
"2014-01-22",NA,131500,130000,133000,130000,311224
"2014-01-23",NA,132000,132000,133000,131000,341695
"2014-01-24",NA,131000,131500,132000,130500,212558
"2014-01-27","SK이노베이션 구자영 부회장, 쪽방촌 찾아 설 선물 전달",128500,128500,129500,127000,365913
"2014-01-28",NA,128000,127000,128500,127000,274827
"2014-01-29",NA,127000,128500,129500,127000,356796
"2014-02-03",NA,127000,125500,127500,124500,286572
"2014-02-04","SK이노베이션, 2013년 매출 66조 6,747억원, 영업이익 1조 3,818억원",126000,125000,128000,125000,361381
"2014-02-05",NA,129000,126000,131500,126000,636024
"2014-02-06",NA,129500,130000,131500,129000,306115
"2014-02-07",NA,129500,131000,131500,129000,180509
"2014-02-10",NA,130000,131000,131500,130000,197844
"2014-02-11",NA,131000,129500,133000,129500,327129
"2014-02-12",NA,131500,132000,133000,131000,312826
"2014-02-13",NA,131500,132500,134000,131000,314169
"2014-02-14",NA,132500,132500,133500,132500,231943
"2014-02-17",NA,134000,134000,135000,133500,323976
"2014-02-18",NA,134500,134500,135500,134000,195141
"2014-02-19",NA,135000,135000,135500,134000,199251
"2014-02-20",NA,134500,133500,135000,133500,216432
"2014-02-21",NA,135000,134500,135500,134000,182774
"2014-02-24",NA,134000,135000,135000,133000,211532
"2014-02-25",NA,135500,135000,136500,134500,314136
"2014-02-26",NA,136000,135000,137500,135000,281583
"2014-02-27",NA,135000,136500,137500,134500,270672
"2014-02-28",NA,133500,133500,134500,132000,386094
"2014-03-03",NA,132500,133000,133500,131500,186972
"2014-03-04",NA,133000,132500,134500,132500,169811
"2014-03-05",NA,132500,134000,134500,132500,219224
"2014-03-06",NA,132500,132500,133000,130500,203181
"2014-03-07",NA,131500,132500,133000,131000,255860
"2014-03-10",NA,130000,131500,132000,128500,341677
"2014-03-11",NA,129500,129500,130000,128500,170509
"2014-03-12",NA,128500,128500,129500,128000,206341
"2014-03-13","SK이노베이션, 협력사 사회공헌 돕는 ‘행복 동행’에 팔걷어",127500,129500,130000,127500,306415
"2014-03-14",NA,129000,127500,129500,127000,172372
"2014-03-17",NA,129000,128000,129500,128000,97698
"2014-03-18",NA,128500,130000,130000,128000,223128
